intent,examples
greet_hi,Hi
greet_hi,Hey
greet_hi,Hello
greet_hi,Yo!
greet_hi,Hi there
greet_hi,Hey chatbot
greet_hi,What's up?
greet_hi,Howdy!
greet_hi,Sup?
greet_hi,Hello AI!
greet_hi,Hi buddy
greet_hi,Hey bot
greet_hi,"Yo, what's new?"
greet_hi,"Hi, how's it going?"
greet_hi,Hello my friend
greet_hi,"Hey there, how are you?"
greet_hi,Hi pal
greet_hi,Hello! What's happening?
greet_hi,"Yo bot, are you there?"
greet_hi,Hi assistant!
greet_hi,"Hey AI, can you talk?"
greet_hi,"Hi, I need your help"
greet_hi,"Hey chatbot, got a minute?"
greet_hi,"Hello, I have a question"
greet_hi,Hey there! Can you assist me?
greet_hi,Yo yo what's the latest?
greet_hi,Hey champ!
greet_hi,Hey buddy how's your day?
greet_hi,Greetings oh wise AI!
greet_hi,Hey cool bot!
greet_hi,Hello universe!
greet_hi,Hey digital friend!
greet_hi,Hey what's the vibe?
greet_hi,Hey genius AI!
greet_hi,Hi bot whatÃ¢â‚¬â„¢s going on?
greet_hi,Hello AI nice to meet you!
greet_hi,Hey AI let's chat!
greet_hi,Hello digital assistant!
greet_hi,Hey any good news today?
greet_good_morning,Good morning!
greet_good_morning,Morning!
greet_good_morning,Rise and shine!
greet_good_morning,Top of the morning!
greet_good_morning,Hope you have a great morning!
greet_good_morning,Morning bot!
greet_good_morning,"Woke up, now talking to you!"
greet_good_morning,A fresh morning to you!
greet_good_morning,"Hello, good morning!"
greet_good_morning,"Morning, how's the day going?"
greet_good_morning,"Good morning, chatbot!"
greet_good_morning,"Rise and shine, AI!"
greet_good_morning,"Good morning, assistant!"
greet_good_morning,How's your morning?
greet_good_morning,"Good morning, what can you do?"
greet_good_morning,"Morning, tell me something interesting!"
greet_good_morning,What's the news this morning?
greet_good_morning,Morning vibes! Let's chat!
greet_good_morning,"Good morning, I need help"
greet_good_morning,What's up this morning?
greet_good_morning,"Hey, how's your morning so far?"
greet_good_morning,Hope you're having a good morning
greet_good_morning,"Good morning, tell me a bird fact!"
greet_good_morning,"Morning AI, any updates?"
greet_good_morning,Let's start the day with some bird facts!
greet_good_afternoon,Good afternoon!
